name,split,n,pos,neg,pred_pos,pred_pos_rate,threshold,auc,ap,acc,bacc,f1,sensitivity,specificity,tn,fp,fn,tp
kl=0.1:native0.5,test,8409,66,8343,899,0.10690926388393387,0.5,0.6876132776887901,0.038204678198544596,0.8902366512070401,0.6064719470868338,0.043523316062176166,0.3181818181818182,0.8947620759918494,7465,878,45,21
kl=0.1:val_bacc_thr,test,8409,66,8343,5144,0.6117255321679154,0.47359333986,0.6876132776887901,0.038204678198544596,0.39350695683196574,0.6116804506772144,0.02111324376199616,0.8333333333333334,0.3900275680210955,3254,5089,11,55
kl=0.5:native0.5,all,42857,307,42550,40628,0.9479898266327554,0.5,0.6709614287846832,0.024079922983504257,0.058893529645098815,0.5163502221950034,0.014706241602540613,0.9804560260586319,0.05224441833137485,2223,40327,6,301
kl=0.5:val_bacc_thr,all,42857,307,42550,17866,0.41687472291574307,0.62426724092,0.6709614287846832,0.024079922983504257,0.5852486174953917,0.6165014143161713,0.021900621801573764,0.6482084690553745,0.5847943595769682,24883,17667,108,199
kl=0.5:native0.5,train,29401,205,29196,27867,0.9478249039148329,0.5,0.6619141780197086,0.02601135081846021,0.05880752355362062,0.5139899718972528,0.014249073810202337,0.975609756097561,0.052370187696944785,1529,27667,5,200
kl=0.5:val_bacc_thr,train,29401,205,29196,12173,0.41403353627427636,0.62426724092,0.6619141780197086,0.02601135081846021,0.5879731981905377,0.6157414647512689,0.021328162869607366,0.6439024390243903,0.5875804904781476,17155,12041,73,132
kl=0.5:native0.5,val,5047,36,5011,4804,0.951852585694472,0.5,0.6513559058959177,0.029017705271277238,0.05528036457301367,0.5242466573538216,0.01487603305785124,1.0,0.04849331470764318,243,4768,0,36
kl=0.5:val_bacc_thr,val,5047,36,5011,2206,0.4370913413909253,0.62426724092,0.6513559058959177,0.029017705271277238,0.5652863086982366,0.6156123195636267,0.021409455842997322,0.6666666666666666,0.5645579724605867,2829,2182,12,24
kl=0.5:native0.5,test,8409,66,8343,7957,0.9462480675466762,0.5,0.7075356223144789,0.028019348702505945,0.06136282554405994,0.5194528891939896,0.016203415181353608,0.9848484848484849,0.054057293539494185,451,7892,1,65
kl=0.5:val_bacc_thr,test,8409,66,8343,3487,0.41467475324057557,0.62426724092,0.7075356223144789,0.028019348702505945,0.5877036508502794,0.6193570004249616,0.02420489726991275,0.6515151515151515,0.5871988493347716,4899,3444,23,43
round1_auto:native0.5,all,42857,307,42550,7579,0.17684392281307604,0.5,0.6711342853971376,0.029717654334744825,0.8226660755535852,0.645519469334793,0.0362668019274664,0.46579804560260585,0.82524089306698,35114,7436,164,143
round1_auto:val_bacc_thr,all,42857,307,42550,8271,0.19299064330214433,0.4988449447,0.6711342853971376,0.029717654334744825,0.8067526891756306,0.6455899363462032,0.03450687806015388,0.4820846905537459,0.8090951821386604,34427,8123,159,148
round1_auto:native0.5,train,29401,205,29196,5134,0.1746199108873848,0.5,0.6602113052573189,0.027429800260806773,0.8250059521784974,0.6503235491664411,0.03633639258288069,0.47317073170731705,0.8274763666255651,24159,5037,108,97
round1_auto:val_bacc_thr,train,29401,205,29196,5589,0.19009557498044286,0.4988449447,0.6602113052573189,0.027429800260806773,0.8095983129825516,0.644987535880291,0.03382809803244736,0.47804878048780486,0.811926291272777,23705,5491,107,98
round1_auto:native0.5,val,5047,36,5011,890,0.1763423816128393,0.5,0.6984744672830883,0.03655359041385795,0.8228650683574401,0.6350140801348145,0.03455723542116631,0.4444444444444444,0.8255837158251846,4137,874,20,16
round1_auto:val_bacc_thr,val,5047,36,5011,1001,0.19833564493758668,0.4988449447,0.6984744672830883,0.03655359041385795,0.8016643550624133,0.6519157852724007,0.03471552555448409,0.5,0.8038315705448015,4028,983,18,18
round1_auto:native0.5,test,8409,66,8343,1555,0.18492091806397906,0.5,0.689078850351774,0.04019105013692027,0.8143655607087644,0.6358787442929837,0.03701418877236274,0.45454545454545453,0.817212034040513,6818,1525,36,30
round1_auto:val_bacc_thr,test,8409,66,8343,1681,0.1999048638363658,0.4988449447,0.689078850351774,0.04019105013692027,0.7998572957545487,0.6435988798448345,0.03663423010875787,0.48484848484848486,0.8023492748411842,6694,1649,34,32
