ordering,model,coverage,n,pos,neg,pos_rate,pred_pos,pred_pos_rate,auc,ap,bacc,f1,sensitivity,specificity,tn,fp,fn,tp,max_uncertainty_kept,mean_uncertainty_kept
origin_by_edl_uncertainty,origin,0.95,7989,53,7936,0.00663412191763675,136,0.01702340718487921,0.6518837016889836,0.014999910030206714,0.5199223505021303,0.031746031746031744,0.05660377358490566,0.9832409274193549,7803,133,50,3,0.14778554,0.1476333671072725
origin_by_edl_uncertainty,origin,1.0,8409,66,8343,0.00784873349982162,223,0.026519205613033656,0.6959082010322573,0.022296330985846744,0.5553566953243328,0.06228373702422145,0.13636363636363635,0.9743497542850293,8129,214,57,9,0.14995676,0.14765798427993815
edl_by_origin_entropy,edl_lambda0.1,0.1,841,4,837,0.0047562425683709865,55,0.06539833531510107,0.46415770609319,0.006376873777233891,0.46714456391875747,0.0,0.0,0.9342891278375149,782,55,4,0,0.9909728935327783,0.9899527988627126
edl_by_origin_entropy,edl_lambda0.1,0.2,1682,6,1676,0.0035671819262782403,57,0.03388822829964328,0.5884049323786794,0.007282867945800114,0.48299522673031026,0.0,0.0,0.9659904534606205,1619,57,6,0,0.9914095929484287,0.9905802634229703
edl_by_origin_entropy,edl_lambda0.1,0.3,2523,8,2515,0.0031708283789139914,59,0.023384859294490686,0.5400596421471172,0.0046517173017516945,0.4882703777335984,0.0,0.0,0.9765407554671968,2456,59,8,0,0.9917694604478342,0.9909170488060529
edl_by_origin_entropy,edl_lambda0.1,0.4,3364,12,3352,0.0035671819262782403,66,0.019619500594530322,0.5770684168655529,0.005074909828192514,0.49015513126491644,0.0,0.0,0.9803102625298329,3286,66,12,0,0.9921471112384983,0.991176025396432
edl_by_origin_entropy,edl_lambda0.1,0.5,4204,16,4188,0.003805899143672693,83,0.01974310180780209,0.5446066141356256,0.005577880004063432,0.5214601241642789,0.020202020202020204,0.0625,0.9804202483285578,4106,82,15,1,0.9925425887343197,0.9914086135461779
edl_by_origin_entropy,edl_lambda0.1,0.6,5045,21,5024,0.004162537165510407,108,0.021407333994053517,0.5289278131634819,0.005161538160875915,0.5131606384592053,0.015503875968992248,0.047619047619047616,0.978702229299363,4917,107,20,1,0.9929961702100004,0.9916349353621383
edl_by_origin_entropy,edl_lambda0.1,0.7,5886,27,5859,0.0045871559633027525,153,0.02599388379204893,0.5687925508714039,0.006890035813277138,0.5241508789895887,0.022222222222222223,0.07407407407407407,0.9742276839051033,5708,151,25,2,0.9936236775110004,0.9918730847771837
edl_by_origin_entropy,edl_lambda0.1,0.8,6727,31,6696,0.004608294930875576,223,0.03314999256726624,0.601601341195514,0.04004805301027782,0.5319593787335722,0.023622047244094488,0.0967741935483871,0.9671445639187575,6476,220,28,3,0.9945554857756641,0.9921440447096016
edl_by_origin_entropy,edl_lambda0.1,0.85,7148,37,7111,0.0051762730833799665,266,0.03721320649132624,0.6215266032450676,0.03623465984559329,0.5356318912077596,0.026402640264026403,0.10810810810810811,0.963155674307411,6849,262,33,4,0.99530697789915,0.9923077345106728
edl_by_origin_entropy,edl_lambda0.1,0.9,7568,42,7526,0.005549682875264271,344,0.045454545454545456,0.621512091416423,0.03733297844737395,0.5489730837857333,0.031088082901554404,0.14285714285714285,0.9550890247143237,7188,338,36,6,0.9964114170396504,0.9925032980893712
edl_by_origin_entropy,edl_lambda0.1,0.95,7989,48,7941,0.0060082613593691325,541,0.06771811240455626,0.6256873609537003,0.032724948250109805,0.5392936972673467,0.023769100169779286,0.14583333333333334,0.9327540612013601,7407,534,41,7,0.9984830563740524,0.9927579607984387
edl_by_origin_entropy,edl_lambda0.1,1.0,8409,66,8343,0.00784873349982162,899,0.10690926388393387,0.6876132776887901,0.038204678198544596,0.6064719470868338,0.043523316062176166,0.3181818181818182,0.8947620759918494,7465,878,45,21,0.9999999987442568,0.9930923825173529
