ordering,model,coverage,n,pos,neg,pos_rate,pred_pos,pred_pos_rate,auc,ap,bacc,f1,sensitivity,specificity,tn,fp,fn,tp,max_uncertainty_kept,mean_uncertainty_kept
origin_by_origin_entropy,origin,0.2,1682,6,1676,0.0035671819262782403,63,0.03745541022592152,0.4083134447096261,0.0036435705097896975,0.4812052505966587,0.0,0.0,0.9624105011933174,1613,63,6,0,0.9914095929484287,0.9905802634229703
origin_by_origin_entropy,origin,0.3,2523,8,2515,0.0031708283789139914,65,0.025762980578676178,0.383648111332008,0.0027307817421040642,0.4870775347912525,0.0,0.0,0.974155069582505,2450,65,8,0,0.9917694604478342,0.9909170488060529
origin_by_origin_entropy,origin,0.4,3364,12,3352,0.0035671819262782403,69,0.02051129607609988,0.4722056483691328,0.003866280807043055,0.48970763723150357,0.0,0.0,0.9794152744630071,3283,69,12,0,0.9921471112384983,0.991176025396432
origin_by_origin_entropy,origin,0.5,4204,16,4188,0.003805899143672693,71,0.016888677450047573,0.4934186962750716,0.004005941647768467,0.491523400191022,0.0,0.0,0.983046800382044,4117,71,16,0,0.9925425887343197,0.9914086135461779
origin_by_origin_entropy,origin,0.6,5045,21,5024,0.004162537165510407,74,0.01466798810703667,0.5347806718228693,0.006322594897702208,0.49263535031847133,0.0,0.0,0.9852707006369427,4950,74,21,0,0.9929961702100004,0.9916349353621383
origin_by_origin_entropy,origin,0.7,5886,27,5859,0.0045871559633027525,78,0.013251783893985729,0.554673721340388,0.005675718322258871,0.4933435739887353,0.0,0.0,0.9866871479774706,5781,78,27,0,0.9936236775110004,0.9918730847771837
origin_by_origin_entropy,origin,0.8,6727,31,6696,0.004608294930875576,84,0.012486992715920915,0.5429457162677767,0.005831920737141141,0.5099313022700119,0.017391304347826087,0.03225806451612903,0.9876045400238949,6613,83,30,1,0.9945554857756641,0.9921440447096016
origin_by_origin_entropy,origin,0.85,7148,37,7111,0.0051762730833799665,87,0.01217123670956911,0.5860790476878228,0.008687542317280299,0.5074665440296153,0.016129032258064516,0.02702702702702703,0.9879060610322036,7025,86,36,1,0.99530697789915,0.9923077345106728
origin_by_origin_entropy,origin,0.9,7568,42,7526,0.005549682875264271,92,0.012156448202959831,0.6051323665262012,0.010238362791407572,0.5178302519519633,0.029850746268656716,0.047619047619047616,0.988041456284879,7436,90,40,2,0.9964114170396504,0.9925032980893712
origin_by_origin_entropy,origin,0.95,7989,48,7941,0.0060082613593691325,118,0.014770309175115784,0.6232697917978424,0.010735115584529196,0.5135294673214961,0.024096385542168676,0.041666666666666664,0.9853922679763254,7825,116,46,2,0.9984830563740524,0.9927579607984387
origin_by_origin_entropy,origin,1.0,8409,66,8343,0.00784873349982162,223,0.026519205613033656,0.6959082010322573,0.022296330985846744,0.5553566953243328,0.06228373702422145,0.13636363636363635,0.9743497542850293,8129,214,57,9,0.9999999987442568,0.9930923825173529
