x,y,spearman,pearson
uncertainty,y,0.01348718008496771,0.0612883067777713
uncertainty,edl_pred,0.04101010208178304,0.10162400483144543
uncertainty,origin_pred,-0.03653026809353164,-0.1742865190148837
uncertainty,edl_score,-0.3553160808317143,0.24001072616500507
uncertainty,origin_score,-0.14075321648211467,-0.20066580722241753
uncertainty,origin_margin_unc,-0.10284012100434921,0.17025455499209638
uncertainty,edl_error,0.03099290365184623,0.07933777720312489
uncertainty,edl_FP,0.034614905538294036,0.08305224337589669
uncertainty,edl_FN,-0.012292446634570053,-0.008173768118026508
uncertainty,origin_error,-0.04084902453473779,-0.1555466117178472
uncertainty,origin_FP,-0.04531785227999784,-0.1932944280332085
uncertainty,origin_FN,-0.0009412556258753891,0.036205828852844055
